journal,continuity,topic_focus,contradiction_integration,cognitive_clarity,narrative_closure,overall_entropy,reasoning
"I love to write. It is considered a job in one way or another. I know I have written a lot so far, but what else can I do today for it being a holiday. I am by myself with a kitty lying on his cat tree, watching the birds of the air. He's a very good cat right now. I love him very much.
Work? I am working right now, writing in my blog/diary. It's quiet here except for the TV being on for noise, watching CSI: Miami on Hulu this morning. DKF let for the day shortly before 8 AM, after arriving around 7:30 AM. No significant plans today -- thank goodness. Home alone now. Kind of anyway. Writing in my diary is work even though I do not get paid to write.",4,4,5,5,4,3,"The entry is structurally coherent, with thoughts that connect smoothly around a few related topics: writing, the quiet holiday setting, the cat, and the idea of diary-writing as work. There is a mild shift between observations and self-reflection, but transitions remain understandable and intentional, and the writing stays clear and complete. The small tension about whether writing counts as work is acknowledged and held consistently rather than becoming a confused loop."
"Oh my goodness gracious. Today was not the greatest day for a neighbor and her name in Cathy. She was an emotional wreck and didn’t want to be here anymore. When a friend or neighbor feels suicide is the answer to their problems, never do I take it lightly and it’s NOT A JOKE, either! Jackie, my caregiver is Cathy’s go to person whrn Cathy has a ’bad‘ day. My heart aches when someone threatens or does commit suicide. All I can do is pray for the person and talk calmly with them as they talk. I find living in a building a community within itself, and this building at Garden Court has enough people in this one building, and everyone has a bit of history that plagues us apparently. I wish and pray for the best for Cathy nonetheless than anything else because whrn she’s happy, she’s helping others. Now why did Cathy have a ’bad’ day today,, let me tell you why, ok?
Why the Bad Day?
There are tenants, including myself, that have a history that has followed each and everyone here. Even Cathy, and there’s no need to tell what happened to her a few years ago. There are tenants who live in here who have caused some trouble while living here and have been evicted and booted out of here yet there is still some troublesome tenants. Cathy‘s ‘bad’ day consisted of other tenants —- a couple troublemakers to be honest with you, were hassling Cathy and got her upset, in tears and wanting to end her life today.
Why can’t other people leave others alone? So are people in this world who would rather make others miserable and this building, I call home, is one of those places. I have moved from one apartment building of drama and neighbors making me feel like shit because of the neighbor’s attitude towards me directly and not liking me because of my spiritual knowledge of the Bible and different — - all the different religions and sects out in the world, and I loving Jesus because of all I went through in life to the present day of today. My love for Jesus is great and special as it should be, and with all the problems I faced and endured, with raw emotion with some, I have to admit that Jesus is welcome in my life. I grew up in a non-Adventist family and became a Seventh-Day Adventist at age 29 in 1999, and haven’t regretted it. I will talk more about that another time…maybe later. Anyway, Cathy’s ‘bad’ day ended that she was talking to her counselor and I got to say hi to her before heading up.",3,3,5,3,4,5,"The entry has a recognizable main thread about Cathy's crisis, but it includes some drifting into broader building drama and the writer's personal faith history with only loose transitions. Sentences are mostly understandable yet sometimes run-on, repetitive, and punctuated irregularly, which adds cognitive noise without making the narrative fully fragmented. There are no major unresolved contradictions, and the ending returns to the main event with a modest sense of closure."
"One can argue that in this case it is more of ""Old"" is the new ""New""...I am genuinely amazed at the fact how our Past can caught up on us in our Future...
...it feels so At Home...
...it feels SO Good...
...it feels SO Comfortable...
once I'll get my old pages back, I'll add a reference to the Places of Comfort musings, as this is now relevant again...This  site was, is and  always will be
My Place of Comfort
here and now ...
and it makes me very sentimental and I smile typing this right now...it's a happy smile...
ahhhhh...
there is nothing more to say right now except of
It's SO good to be back
*waves to the old friends and sings something along the lines of ""here we go again..."" *
I diligently paged through the 2 decades of Misstick's history and bookmarked two entries, so I don't have to scroll to them again (it was a very long scroll...did I mentioned I scrolled a long time?!) so here they are - my first ever entry in the beginning of THIS diary, as well as the very last one before I abandoned it for a good few years...at least now, since magical Steve has fixed the Calendar sync, once you get on at least one page from the past, you can navigate some other entries from that calendar span.
That will do for now, that will do...
Last one Before
First One Before",4,4,5,4,4,3,"The entry stays centered on a single emotional theme of returning to an old comforting space, and the shifts between sentiment, memory, and practical details about navigating old entries remain connected. The style is expressive and elliptical, with some fragments and playful asides, but these read as intentional rather than disorganized; there are no meaningful unresolved contradictions, and the piece ends with a deliberate sense of pause and completion."
"I’ve said in my previous diary: I’ll start to write again when it feels right…Well, I’ve found this place and decided to make myself comfortable, to settle down and “unpack” first things first.
I’ve changed my DDHome because I’ve changed. Or so I would like to think anyway.
How often do we want to see ourselves as changed for real, while only changing outside cover? I have no illusions about mine. I’m - still the same and it is my perceptions that have been changed, really…
And now it is time to sum up previous experiences, to draw a line and say – “I was – there, and I am – here now”. Things I’ve learnt and things I still need to learn – they endless. As endless is my quest for learning. In the end of a day this is exactly what Miss Tick supposed to do, according to Mr Pratchett: The Exploring Of The Universe.
A bit about where I stand at the moment. I want to make a note of this as I’ve discovered recently – people do change and I’d like to be able in some time to go back here to see how I’ll change. Once again…
What Is Miss Tick?
I’m the one, who thinks a lot and writes those thoughts whenever finds a spare minute.
(This is not a good thing for readers, as most of those thoughts are generally random and meaningless)
I ask a lot of questions. To myself. I actually think, that most of questions I’d ask – in fact – the answers...(hmmmmm…that doesn’t make sense, but probably does make a point – I do not expect someone to give an answer, although, any comments will be welcome)
I’m a hypocrite. But a “good” one (if there is such thing!): I say things I sincerely believe I am, AND THEN they turns out to be completely untrue. Like, for example – I’d say that I’m a wise and reasonable. Next thing you know: me running away from the problems instead of trying to sort them out.
I am a coward. True – I’m afraid of consequences before actually do things. From the other hand – I’ve adopted that “close eyes and jump” theory – I do do things on impulse. Sometimes this doesn’t do me good. Those “sometimes” happened more often then the other way.
I love logic. I try to find it in anything. Often – where there isn’t one.
In contradiction to the above, I live more by emotions and imagination. I often put my own thoughts in other ppl’s mouth and assume that’s –what they meant to say. I understand this is bad and I’m working on it. My new credo – “Things Are As They Are”. Accepting is my Ultimate Target. We’ll see how I’ll get there (if I will).
I think, that’s enough for the start. I will add things later, as they will come out of hiding inside my head. At the moment let’s just get on with the mission statement:
Explore My Universe.",4,4,4,3,4,4,"The entry is structurally organized around a clear purpose: re-beginning the diary, taking stock of current identity, and ending with a personal mission statement. There are some local hesitations, parenthetical asides, and syntactic awkwardness that reduce clarity, but the thoughts remain connected and contradictions are explicitly acknowledged and partially integrated rather than left chaotic."
"""...It happened with one woman. She was invited to review her life as a series of footprints along a beach. ""See,"" said the angel, wherever you walked, I walked beside you."" ""But look,"" she cried, ""There, in a really bad phase of my past, I can see only one set of prints in the sand. Why did you abandon me then?"" ""Abandon you?"" retorted the angel. ""Why, that's when I was carrying you...""
What a nice story it is! And do I believe it? Nah, don’t think I do. The idea of someone walking along our life path, helping us, when in need, carrying us? Oh, please…
People supposed to deal with their problems themselves, not expecting someone to hold hands and show the light.  Isn’t it ironic, that we often wish to have that Someone in life, but fail to be that Someone for somebody else? Are we able to pass the light? Or are we too selfish to give without looking forward for repayment?
It is natural to wish good things for yourself (hmmmm...I wonder if there would be anyone in the World, who would wish bad things for themselves instead?) They say: your wish will be granted if it’ll be someone else – to make that wish for you, someone with good intentions, someone who cares. I don’t know about anyone else, but I’ve certainly seen that working in real life…A sincere good wish for someone is a special gift one can share. And sometimes it happened, that when we wish someone to be happy, we realise that that happiness can only be balanced with somebody else’s sorrows…
Ah, isn’t life – all about – BALANCING?
Observation on continental flu:
when ppl weak, they don't have much of their guards up and they intend to do things and say things they never meant to do or say in ""normal"" state.
The best way to keep yourself protected - to stay away. But why it is ever so hard? Delirium? And always - regrets after...So pathetic, huh?",3,3,3,3,2,5,"The entry is mostly readable and develops a few identifiable themes, but it shifts somewhat abruptly from the parable to self-reliance, then to wishing, balancing, and finally an observation about flu without strong transitions. Contrasts and tensions are noticed rather than fully resolved, and the ending feels more like a trailing add-on than a deliberate closure."
"Being ""exclusive"" leads to being ""possesive"". Being ""possesive"" leads to being ""distrustful"". Lost of trust...Not many loves can withstand such challenge...
It could happenned so that those whom you love will be unable to give that little ""special"" something, that you might find you can't exist without. It could happenned that you come to realise that after some time.
After you've given your partner your love, support, most of your life...It's not that your love for them dried out. It's not that you can't stand them any more. I'm just talking about that moments, when you realise that you have something within you, that you cannot share anymore. Would the reason be - they don't understand, or - they incapable to understand, or - they don't want to try to understand. It could be also - that they've got other things that they can't share with you too...in the end of a day we all - different and have different ways of walking through life, even if we've got a loving fellow traveller...
Things could happenned...And there could come a moment, when you give up trying to share certain things with your partner and look around searching for others to share instead.
Is this a moment, when you must consider to part and go your own ways each? Or is it - a sign for you to get all your strength and make an effort to understand and to accept that this is the way of life?
Tough choice, eh? If you stay, you will most certainly need to give up your ideas or to keep them to yourself, but you'll have your loving partner in return for this sacrifice.
If you turn and walk away, you'll lose part of your life, which had a meaning to it or at least which has a memories of details of what is you...
How many of us can let their partners to have someone else for sharing things, we not interested ourselves? How many of us want to keep our partners ""exclusive"" to us only?
It's one thing when there is no love any more, or where there is love for someone else instead...But what about - losing ""togetherness""? Does it count for a reason to leave? Is it a legitimate reason - ""no common interests""?
I can understand it could be a valid motive, if you haven't spend much time to try to  find those ""common grounds"". But what about long-term partners? Do the years spent together mean anything? Can the fact that their lives are now so deeply intertwined be a binding factor? Just how much of sharing can you give up in the name of shared past?
And the other alternative would be - to find someone else to share that tiny part of great importance. And let your partner do the same.
But how much of ""exclusiveness"" can we let go? Can we really handle it? Can we trust each other?
What I wonder here: which way is better - to agree to be ""exclusive"" and accept all limitations it can tied you up with, or - to go ""looking elsewhere"", even if this means - to leave your loved ones because they can't accept it? [sigh] either way is painful, but almost everyone have to make that choice at least once in a lifetime...",4,4,3,3,4,4,"The entry stays centered on one core dilemma—exclusivity, sharing, and whether relational limits justify leaving—with adjacent thoughts generally building on each other through a chain of questions and reflections. Clarity is somewhat reduced by repetitive phrasing, grammatical disruptions, and unresolved tension between staying and seeking connection elsewhere, but the contradictions are consciously explored rather than chaotically presented, and the piece ends with an intentional summative question."
"Ok. That hat feels too tight for me. Although I am grateful for all congratulations. Is it something like being an Oscar Thing receiver – do we suppose to give a speech? Hope – not, as I’m not going to. And it wasn’t even my best entry. Oh, well…[sigh].
Anyway. This whole event made me think of a “Complimenting”.
Can you take compliments? How you respond to the compliments? And do you like to receive compliments more then to give them or opposite?
As long as I can remember myself, I never liked to receive a presents. The anticipation of having to say something when being given a present could make whole birthday a “notanticipated” event at all… I am not sure why it was that hard to say “thank you” and feel good. Maybe it was a question of being in a spotlight – it’s hard not to be for a birthday girl, isn’t it?
With age accepting becomes easier. I would “blame” it partly on hypocrisy that comes with age – we learn to live to socially acceptable norms, even if it means - learn to say commonly accepted things in commonly accepted situations. Anyway.  Even if I still do feel a little uncomfortable with the gifts, more pain bring compliments. I’ve been told once that maybe I don’t like being complimented, because I “agree with the compliments, but feel rude for accepting them as fact”…Hmmm…no, I don’t think, that is the reason. But I don’t know the real reasons anyway.
Perhaps, the fact that compliments we get, often – about things, we not aware about us. What is the compliment, anyway?
Miriam-Webster offers:
Main Entry: 1com•pli•ment
Pronunciation: 'käm-pl&-m&nt
Function: noun
Etymology: French, from Italian complimento, from Spanish cumplimiento, from cumplir to be courteous -- more at COMPLY
1 a : an expression of esteem, respect, affection, or admiration; especially : an admiring remark b : formal and respectful recognition : HONOR
Perhaps, the reason would be that what we getting compliments on, we don’t think we have…so logically thinking – this is all leads to low self-esteem…that’s just confirms what it is in real life somehow…[sigh]
Wow…LOL…I think, the more I think, the less sense I make…
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
I don't see much sense in that,"" said Rabbit.
""No,"" said Pooh humbly, ""there isn't. But there was going to be when I began it. It's just that something happened to it along the way.""
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Guess, such a cheerful thought would make a good ending to this entry anyway, as
“Sometimes the more you think – the more there is no real answer”
;-)
[Mental Note to myself: Stop Thinking]",3,4,3,3,4,5,"The entry stays centered on one main theme—discomfort with compliments—and develops it through examples, questions, and tentative interpretations, though the flow is interrupted by rhetorical asides, quotation inserts, and self-corrections. Contradictions are acknowledged but not fully resolved, and the writing shows moderate cognitive load with hedging and digressions, yet it still arrives at an intentional, reflective ending rather than simply trailing off."
"“You’ve got a mind of a child!” – I’ve been told...hmmmm...I wonder why is that? [Amuses herself pensively making faces in front of the mirror)
Is it because I ask too many silly questions?  Or because I say funny things all the time? Or because I never seem to be serious?
But look, what options do I really have? To be a dark pessimist and to moan all the time about my pathetic life? Or to be a “mature responsible” adult and to bore everyone to death?
I’ve tried all of that way ago...there are so many such matured pessimists out there, that all my originality would be lost among them! Besides, what could be the worse entertainer then professional sufferer?
Sometimes you feel like you need to protect yourself from something, you don’t know what yet. Perhaps, being silly serves as a shield as well? Who knows...? [Shrugs] Who can ever tell what the other person’s motives for behavioural pattern are? Sometimes even that person themselves unable to tell... [Blowing her little whistle in a way of unsuspected surprise]
Let’s just say: it’s an impulse ;-) A natural defensive motion. A syndrome of a fearlessnesssssssss (hmmmmmm, you know what I mean, don’t you?)
”I may look, act, and feel like an idiot, but at least I'm having fun in the process”
[Sticking her tongue out and leaves]
................................
Later in a Day...
Just to show how woman's mood can change when the least expected:
Have no idea, where I've got this poem from originally, as normally I tend to pick up whats I like on my wondering ways on the net and just keep it ""for further digestion""...Somehow having done a little ""cleaning"" in my files, found this blue-ish thing:
Always listen to that whisper
The one that comes from within
That sudden thought that prick your heart like a pin
That flick that flashes in your mind
That one that causes goose bumps on your spin
The one that wont go away and comes back every day
And when it comes to past you try to tell everyone
you've already been that way
You scream I knew it, I knew it
I seen it yesterday
But if you think that whisper is just because...
Never mind - you've already lost...
Some poetry can really get into you like annoying bug and cause a fever...[Time to take a medication?]",3,3,4,3,2,5,"The entry has identifiable thematic sections—playful self-defense about being childish, then a later mood shift into quoted poetry—but transitions are loose and theatrical asides interrupt the flow. Despite the stylized fragmentation, the core ideas remain somewhat traceable and the self-contradiction around silliness as both genuine fun and possible defense is reflected on with moderate awareness. Clarity is reduced by parenthetical performance, punctuation irregularity, and the ending trailing off without strong closure."
"Some people come into our lives, leave footprints on our hearts, and we are never the same...
..................
(I was going to write a lot here - in memory of the friend I've lost, but found that I cannot find the words to convey...Sometimes thoughts could be on the brink of feelings that words could never describe...I'm having a deep thinking in Their memory instead)",4,5,5,4,4,3,"The entry is brief but structurally coherent, staying focused on a single theme of grief and the inability to articulate it. The thoughts connect logically and end with an intentional reflective conclusion rather than fragmentation, though the ellipses and unfinished framing slightly reduce clarity and closure."
"Sitting in front of a blank screen. Feeling a little “arty”. A screen is a canvas, where I am about to paint my picture. I am looking out for some colours and a brush…And I am thinking…Of what I’d like to paint. My life, perhaps? Or just a tiny bit of my mind? Either way – it’s a thoughts being caught and pinned with the words. It’s not the real 3D-dimensional illusion, just unsophisticated flat painting…So not really the real thing, isn’t it? But at least – it will be mine…
I would put a foundation into that picture. A Love and a Kindness. I might be one of those incorrigible dreamers, but I still believe in those. I try to remember to love and to be kind, even when there is urge to hate. I can’t manage it sometimes…Nobody’s perfect…
I’ll add few colourful strokes of hope and faith. Not too much, coz I don’t want the picture to appear too mixed up.
In the middle of that picture will be – I. I look at my photo – I don’t like how I look on photographs…Even often I can’t believe that it is me on there. I used to see myself differently. Guess, we all do. But that’s the way human’s sensors work – eyes will see what’s on outside, hearts - inside.
I wonder if this is true, that in afterlife all souls will be free and then we will see each other “naked”. Sometimes in a moment of despair I wish that we could make this happened in our realm. But maybe then we would be scared away with what we saw…
I will paint myself the way I see me. The way I like me and the way I am – me. (hmmmm..might turn out to be not  such a pretty  picture after all…lol) nah – of course it’ll be Perfect!
Being there, in the middle of a picture, actually means, that despite of any thing I still have some good thoughts about myself, which is good, right? Maybe – a little selfish, but hey – you’ve got to love someone, what’s wrong if that someone is – you?!
Now – got to be careful here, as its time to smudge a bit that bubble of illusions of mine, make it paler and lighter. Don’t need too much of these anymore. Getting older brings advantage…
Well, not much left to add now – only few brush waves here and there of seriousness, flippancy, impatience, reasoning, naivety, wit and invariable fairness. A few drops of tears, perhaps and a little cute smile in the corner…Its amazes me that when it comes to say few words about yourself, suddenly all the words have gone into hiding…Am I that unfamiliar with me or just refuse to recognise certain things?
Anyway – the picture is almost ready, as it’s up to imagination of the viewer to fill in missing details. Frame this into the borders of responsibilities and – there you go – a Perfect Picture.
[hammeres in a big thick Nail and hangs the Picture. Steps back and admires for a second. Then takes it down and into recycling bin]
""If you can't be a good example, you'll have to be a terrible warning."" (~Catherine Aird)
;-)",4,4,4,3,4,4,"The entry is organized around a sustained painting metaphor, and most shifts in topic remain connected to that central frame, giving it good continuity and focus. There are some digressions, parenthetical asides, and stylistic interruptions that reduce cognitive clarity slightly, but they feel expressive rather than chaotic. Contradictions about self-regard, illusion, and imperfection are acknowledged with awareness and woven into the portrait, and the ending provides a deliberate, if ironic, sense of closure."
"Have you ever seen a pantomime on the streets: mime would do that funny moves, as if he is behind a glass wall and can’t get through it? He would be pawing over the invisible barrier, making anxious faces and it would look like that wall is there for real…
Barriers set up by us. Boundaries. Artificial or natural, it is us, who define them.
From time to time we stumble upon them, when walking new paths. Some boundaries are – our own creations, others – those of others. Which one you’d prefer? Certainly it’s better when what stops you – your own limits. Physical, or moral or religious, anything really…Everyone has got different limits and that’s natural – everyone is different.
Does it hurt when you hit someone else’s barrier? Sure it does. Is there an alternative? A way to avoid collision? Doubt that there is…The very point of a boundary is – you hit it, because you don’t see it! But isn’t it the way to learn – to run against the walls and take upon the bruises from the clash?
“The more we live, the more we learn, the more we know…”
Killing has its boundary. The amount of hate or frustration one has defines how far one can go. I’ve witnessed how such boundaries gets moved out of proportion under certain circumstances.
It happened when I graduated from school; there was that war in Afghanistan. Due to compulsory military service my male classmates had to go through that rigorous soldier's duty…Few never returned. Those who came back, changed. We talked. They described how terrifying it was – to do your first killing. After the first one next has been easier and so was every next shot. The barrier of killer’s brute appeared to get broaden and there were no more moral stopper to kill a human. Most of them ended up as bouncers, or body guards for the mafia’s big men. Only few choose civil professions. Once stretched, boundaries almost impossible to narrow back down.
Animals kill without hesitation – their boundaries lies very wide, limited only by the fear of starvation – natural boundary.
If somebody will ask me “…could I kill someone for real?”
My answer would probably be – it depends on what limits that person has. I would like to hope that theirs boundaries would not be natural like those of  animals, but more of – moral, set up by human, about human, for human. Killers simply unable to comprehend and control their instincts – how then they different from animals?...
Love has its boundary too. Despite of millions of famous quotes about “unlimited love”, still – I believe that you can only love that much – as much as you are able to give. When you've got nothing left to give, a glass wall of sympathy will be built.
And the mime will never get through.
There are so many boundaries in our lives. It would be good to know them, although no one does and I think - no one ever will. You can try in order to learn or you can just learn it from the others, who already have experience in crossing. Either way - it is - your responsibility and it will be you to stand in front of the judge when you violate your boundaries.
Your desire for an illusion is like a wing.
This wing will take you to Reality ...
Preserve the wing; do not feed the desire
this wing of desire will take you to Paradise.
People think they are enjoying themselves:
in reality they are tearing their wings apart for the sake of an imaginary form…
[Rumi]",4,4,4,3,4,4,"The entry maintains a coherent central metaphor of boundaries throughout, with topic shifts from abstract reflection to war, killing, love, and responsibility remaining thematically linked rather than fragmented. Expression is sometimes grammatically uneven and hedged, which lowers clarity somewhat, but the thought structure stays organized and concludes with an intentional reflective ending rather than trailing off."
"I’ve noticed how people around DDLand have been feeling somewhat bluish lately…One thing surprised me: most of those DDs have been my everyday’s readings…The other astonishing detail – it seems that they all happened to feel this way same time, as I do feel so too. Can the melancholy be web-contagious?! (""cyber-infectious"", ""net-communicabled"")
It feels the way like I am just about catch my own thoughts, but in reality - I can’t. I am catching someone else’s emotions instead…And the luck of “self-concentration” makes the whole perception be in sort of “half-tones”, grey scale or something…A whole World of Shadows…Like – you can see shapes becoming apparent, but when trying to reach for them – they lifeless…
Such net-climate causes me to give up any attempts to formulate my own thoughts, but instead – to browse for those of others. Poetry is my Escape Burrow. Poetry and music. Interesting what ways for dealing with blue moods other ppl have? What helps you cope with almost-surfaced-no-particular-reason tears?
I don’t really think, that one should force himself to fight against such moods – sometimes it’s better to be sad a little to let go emotions, then to struggle with them. I would compare this with draining effect.  Just like in the past centuries medics used to prescribe bloodletting to “release bad things from your blood” [Of course all is good within reasonable limits]
I can tell for myself: in such moments I would be listening to the music, most likely – pick up one song and let it loop through my mind until I no longer can hear the words, but – feel them in my blood…Crrrrrrrrrrrrrazy, huh? …Sometimes I would also search for a poem. The one with perfect fit. If found one – that brings me some comfort too…
………………………………………………………………………………….
for the last hour or so my song is – “Change The World” by Eric Clapton, my consoler -poem -  by Marina Tsvetaeva, (written in 1914!):
I don't think, don't complain, don't argue.
Don't sleep.
Don't strive either for the sun, or the moon, or the sea,
Or the ship.
Don't feel how hot it is inside these walls,
How green it is in the garden.
I haven't been expecting the desired gift
For a long time.
Neither the morning nor the bright run of the tram
Make me happy.
I live not noticing the day, forgetting
The date and the century.
On this partially severed rope
I--a small dancer.
I--a shadow of somebody's shadow. I-- a lunatic
Of the two dark moons.",4,4,5,3,4,4,"The entry stays centered on a coherent theme of shared melancholy, moving from observation to personal experience to coping strategies, with transitions that are mostly intentional rather than fragmented. Expression is somewhat stylized and occasionally syntactically awkward, with hedging and metaphor-heavy phrasing reducing clarity, but the overall narrative remains organized and ends with an intentional emotional landing in the quoted poem."
"The First of September.
It was a bright sunny day, almost national holiday. Not of course for the pupils of seniors years, when every school day counted as obnoxious obligation (Little do they know of the adult life and still crave for it rather stupidly!)
But for little ones, who went to school for the first time, it’s exciting day. We can never imagine, how much exciting.
And one can never see how much of “excitement” befell on those 200-something pupils in North Ossetia’s ordinary school, which became famous in a blink.
Would you be able to feel what they might be feeling at that very moment? What their relatives might be going through? Guess, no one really can. This is not an exciting game any more. Nor do those masked people joke when say they will kill the hostages. And those hostages – next door boys and girls, just those who came to their school to learn about the way our world is…
Sometimes I feel helpless anger. And an urge to be really rude and say to those, who amuse themselves playing with the ideas of murder, suicide, just to be seen cool, feel cool about them-insignificant-selves, to waste their time driven by the “cool” fashion:
if you wanna smell death that much, - go and change places with those kids in Chechnya, in Iraq, in Palestine, in many other countries, where no one wants to die, yet they have to in the name of someone else’s ambitions!
Frustration is not even the word strong enough. Who the hell has volunteered to deliver death to those who never placed an order?! Why it is not enough to sacrifice lives of those, who made a deliberate decision to fight and to die?
Why those who made a choice to die, take innocent with them?! What those Gods are thinking of, if they say - They supposed to exist?! Why – kids? In what's name?
We are so self-centred sometimes. We tend to think that we have so much pain and unbearable misery in our life because of broken promises, broken friendships, and broken hearts.
Not underestimating these loses here, but how about – broken lives? Broken in the way as in – FOREVER?  Stopped. Seized. Broken future as in – NO FUTURE?! Closed eyes and not able to see the sun, to feel the rain on your skin, to watch little everyday’s wonders?
Who can stop the madness of the World and of the Mightiest of this World?!",4,4,5,3,4,4,"The entry stays tightly focused on one central topic—the horror of violence against children—and develops it in a connected progression from scene-setting to moral outrage to broader reflection. The writing shows strong continuity and thematic organization, though cognitive clarity is somewhat reduced by rhetorical overload, repeated exclamations, and dense questioning. There are no major unresolved internal contradictions; the piece ends with an intentional open-ended question rather than trailing off chaotically."
"So, it is
known
fact now - among the terrorists, who siedged school in Beslan there are few belong to the famous ""Black Widows"" organisation. Black Widows are the name given to female Chechen fighters who've turned to terrorism after losing spouses in the war for independence with Russia - and who have killed scores of civilians in suicide attacks. What kind of human being can give life and then - go around taking it?!
The bitter truth is - they have nothing to do with international terrorism as such or Islamic faith even. They just being used by them. They are - Dark Revengers. They have nothing much then deeply personal reasons, primarily revenge for the loss of family members...primitive, i'd even say.
How insane one needs to be?!
What could be their resoning, if any at all? Blind desparation? Blind so that they can't see the tears in child's eyes, can't hear their cry? Are they women at all??!!! Are they - HUMAN? Don't they have a children of their own? Have they thought when sending their kids to school, that such thing could happenned to them? Can they think at all?
Madness continues. And showing its face - face of a Woman, a Mother and a...KILLER!...Have we lost our human mind?!..
TEARS...Nothing more left at the moment...",4,4,5,3,4,4,"The entry stays tightly focused on a single subject and develops it in a coherent emotional progression, with rhetorical questions reinforcing rather than disrupting the thread. Cognitive clarity is somewhat reduced by broken phrasing, emphatic punctuation, and grammatical instability, but the overall narrative remains understandable and ends with a clear emotional conclusion rather than fragmenting."
"They are NOT fighters for Chechyen Independence! How can they be?! They couldn’t even face the fight and started to run as soon as panic started...
I am watching
news
in real time, as the events unfold…My heart goes for those who’s lives has been changed forever by some inhuman cowards in the sake of selfish ambitions of their warlords…
About 200 wounded, 150 killed so far…The place is a real hell on earth…They shoot at children who ran from school after the first explosion. THEY SHOOT AT CHILDREN!
Ex-hostages said that terrorists started to shoot hostages (CHILDREN!) before the storm...They've discovered dozens of bodies in the gym...
Over 400 are now in hospitals...
More bodies found lying on a school yard...
It's an evening already in Russian town of Beslan...
Fighting still goes on...more dead counted...
How one can live through such day at all?...
We need to see what kind of things happenned in our world. Not only because it could happenned in a place close to our heart, with people we used to know very well...We've got to see the ugly face of hate and inhumanity so that our children will never see it.
Of course what I am feeling right now is affected by the fact that I used to visit this little town, that I used to live close by in a similar unknown russian town, used to go to school, that looked exactly like school number1 (they normally built in typical projects, those schools in little towns). I am not denying that my sorrow is deeper then that of some others on this site. But I tell you, that there were no differences from what I was feeling about those victims of 9/11, and  about those Iraqi women and kids that were caught between the battle of the men incapable of common sense...(who used to read my previous diary would probably remember hot topic entries)...
I think that it is natural for any human to feel for those in need, regardless where is the place of their needs...Our World would be too sad without simple sympathy, so natural and so forgotten in our crazy century...
Let those who wants to fight - fight and let the others just - be safe.
And just one thought: if there is God, how can he/she allow such things to happenned? I think this is the toughest question for all of us...",4,4,5,4,4,3,"The entry is emotionally intense but structurally coherent: it moves from real-time reporting, to personal connection, to broader moral reflection in a mostly connected sequence. The topics are clearly related and intentionally developed, with no major contradictions left unresolved; the main entropy signals are rhetorical fragments, ellipses, and urgent repetitions rather than true disorganization."
"Do we really know what we want to be and what we can be?
There are three forms of knowledge.
The first is
intellectual
knowledge, which is in fact only information and the collection of facts, and the use of these to arrive at further intellectual concepts. This is intellectualism.
Second comes the knowledge of states, which included both
emotional feeling
and strange states of being in which man thinks that he has perceived something supreme but cannot avail himself of it. This is emotionalism.
Third comes real knowledge, which is called the
Knowledge of Reality
. In this form, man can perceive what is right, what is true, beyond the boundaries of thought and sense.
Scholastics and scientists concentrate upon the first form of knowledge.
Emotionalists and experientialists use the second form.
Others use the two combined, or either one alternatively.
But the people who attain to truth are those who know how to connect themselves with the reality which lies beyond both these forms of knowledge...
[*IBN EL-ARABI]
Shorties
""Shorties"" - a word for my about-to-be-materialised thoughts (can't think of anything better to name this)
Sometimes we can't concentrate on one thinking, yet can't not think at all too. So, ok - I've been thinking, that if I'd make a note of any allusions to the thoughts-to-be, then maybe, just maybe, I'll come back to think them over again...
-Can we call us – greedy for having too much desires?
-If you don’t have it all because you’ve hammered in your head that you can’t have it all anyway, that’s, excuse me, simply not good enough.
Nostalgia
Was reading...re-reading my svetik's dd...a nostalgic seizure...made me sad a bit...we love the past when it's gone...why is that?...Funnily  enough, I am now finding that despite of my proud statements, that I have changed a lot since then, there are still so much of svetik left in me. A could just copy&paste some of my earliest entries without editing and sign up under them again with no hesitation.
Anyway…there is time for the past, but there is life in the present. And so – why  don’t just live it? [*shrugs]
Strange days passing by…Sad days, days of a lot of thinking, recollecting, just reflecting…Almost everybody noticed how low the spirit around DDLand has become…Really need some sort of shake off, cyberparty or something to lift up, to let forgive, to let forget, to get happy…Life should go on, otherwise it won’t have any sense to it…",3,3,4,3,4,5,"The entry has identifiable sections with headings and some intentional topic separation, but the movement from quotation to 'Shorties' to nostalgia creates a somewhat loose overall flow. Expression is mostly understandable yet marked by ellipses, fragments, and informal restarts, while tensions between past and present are acknowledged and partially integrated in a reflective ending that gives the piece moderate closure."
