journal,continuity,topic_focus,contradiction_integration,cognitive_clarity,narrative_closure,overall_entropy,reasoning
"got fired today. they said ""not a good fit"" like okay what does that even mean when i was literally showing up and smiling and trying not to cry in the bathroom between customers. i keep hearing her voice saying it all careful like she was handing me a baby bottle not a job ending. i nodded like i understood and i dont think i did

came home and the baby had applesauce in his hair somehow and i laughed for one second then felt bad for laughing because rent. diapers. gas. stupid gas is always gone even when i dont go anywhere. i need to call mom maybe not mom makes everything into a lesson and i cant do lessons today

i keep thinking i forgot something there my name tag maybe my charger no that wasnt even the point. the point is i got fired. fired sounds like i exploded and maybe i did a little in my chest but outside i just said okay thanks. thanks for what

the sink is full again and i was gonna wash bottles but then i sat down and started staring at the wall because if i move too fast i start thinking about next week and next week turns into christmas somehow and i still need wipes

i wasnt even there that long. maybe thats worse. maybe i talk weird maybe i was too slow maybe the manager already decided last tuesday when she looked at me funny or maybe im making that up. the baby is asleep right now finally and i should be applying places but i keep opening tabs and forgetting why i opened them and then the",2,2,3,2,1,7,"The entry shows significant fragmentation with thoughts breaking mid-sentence and jumping between topics (job loss, baby care, calling mom, practical concerns) without clear transitions. While there's emotional coherence around the crisis of being fired, the structural organization is poor with incomplete thoughts, abrupt shifts, and the entry literally ending mid-sentence."
"been on hold with the hospital so long the same piano loop is in my teeth now. they keep saying your call is important and the kids are doing that shriek thing from the hallway and i cant even tell if someone is bleeding or just mad about the blue cup again. i havent slept since... no 2 mornings ago i think. i cleaned the elementary school bathrooms last night and one of the tiny sinks was running the whole time, just that drip sound like the hold music but meaner

I need them to tell me if my mom got moved or if shes still in the same room because the nurse yesterday said call back and now nobody picks up except the robot lady. my youngest just dumped cereal in the dog water. great. fantastic. and i still smell bleach on my hands even after washing them, maybe thats normal maybe my hands are just bleach now

i tried coffee but it made my chest feel weird and the kids are yelling DAD DAD DAD like im in 3 places. also i think i forgot to clock out this morning or maybe that was yesterday, whatever if they short me again i swear. not swear at who though. hold please, like i have a choice

somebody is crying now, maybe me in a minute. i wrote the hospital number on the envelope from the electric bill and lost it while using it. no that doesnt make sense. i keep thinking if they just answer then i can",2,2,3,2,1,8,"The entry shows severe fragmentation with abrupt topic switches mid-sentence and thoughts that trail off incomplete (""i can""). Multiple stressors bleed into each other without clear boundaries, and the narrative abandons itself entirely at the end, indicating high cognitive overload and disorganized mental state."
"I know I said Im fine at work but im not really, my hands were shaking on the ladder today and I kept pretending I was just cold. wasnt even cold. Just that stupid drop in my stomach again like if the foreman says my name its over somehow, over what I dont even know. rent maybe. getting fired maybe. my chest keeps doing that flutter thing and then I think heart attack and then I think dont be dramatic and then I miss a measurement by like half an inch because im thinking about my heart and not the damn tape

also who left the circular saw out in the rain because now everybody gets to act surprised tomorrow. whatever. I need to call the landlord back. I need to call my brother back first maybe no actually landlord because if they raise it again I cant do this. coffee was a bad idea but if I dont drink coffee I get that headache behind my eye and I still have to show up at 6 like some machine

I was texting Jess and then deleted half of it because it sounded crazy, not crazy just too much like hey sorry if I seem weird lately I havent slept right in 4 days and every noise in the apartment sounds like someone coming to tell me I forgot something important. Did I pay the truck insurance. no wait I did I think in the parking lot last week. maybe. anyway if tomorrow starts with that look from him again I swear I might just",2,2,3,2,1,7,"The entry shows significant fragmentation with topics bleeding into each other (work anxiety → saw → landlord → coffee → texting) and frequent mid-thought breaks. While there's some awareness of internal conflicts around anxiety and self-doubt, the expression is marked by incomplete sentences, abrupt shifts, and the entry literally ends mid-sentence, creating high cognitive noise."
"I got fired today which still sounds fake when I write it down. Not let go, not cut hours, fired. Tammy was doing that careful voice managers do when they already decided and I kept staring at the pastry case crumbs on her sleeve like why are there crumbs there if this is supposed to be important. I think I said okay too many times. maybe I smiled. I do that when I cant find the rest of my face

She said inconsistent focus and customer complaints and I wanted to ask which customers because people complain if the foam leaf looks too leafy or not leafy enough, people complain when its raining. I was late twice. three times? no twice this month, I think. The blender was screaming in the back and I couldnt hear half of it and then suddenly my apron was in my hands and that part is blurry like someone skipped frames

I walked home instead of taking the bus because I forgot buses exist apparently. My shoes are still sticky from the mocha spill yesterday or maybe last week. There was a little girl outside the laundromat holding a blue balloon and for a second I thought I was supposed to remember something important but it was just bread, I forgot bread

I keep thinking I should text my sister but then she will ask what happened and I dont know what happened. I made drinks. I wiped counters. I was there and then I wasnt and now the apartment sounds too loud the fridge and the pipes and I should make coffee except funny. I dont even know if I still smell like espresso or if thats just",3,4,5,2,2,6,"The entry shows moderate organization with a clear chronological narrative (firing → walk home → current state) but exhibits significant cognitive load markers like fragments, incomplete sentences, and processing delays. The stream-of-consciousness style reflects shock/dissociation rather than true mental fragmentation, with coherent emotional progression despite surface-level disorganization."
"I dont know what today is supposed to be called. First day after, I guess. like there should be a name for the day after your whole inside gets scooped out and everyone still expects normal things. I kept reaching for my phone to text you and then remembered and then did it again five minutes later like an idiot no not idiot just... I cant hold the shape of this.

I cried in the bathroom so hard my face looks weird. My manager texted asking if I can cover friday and I stared at it for so long because friday?? there is a friday? tables and ranch cups and people asking for extra lemons like any of that still exists. I can still smell coffee from this morning and it made me sick. Or maybe I didnt eat. I found one of your hairs on my hoodie and lost it all over again

The sink is full and I keep hearing the fridge hum and for some reason that feels offensive. I need to call my mom back. I need to not hear anybody. I opened the app to order groceries and just looked at bread for ten minutes. bread. I dont even know if I have clean socks

Everybody says hydrate and rest and breathe and I am, I mean I'm doing the breathing part automatically so congratulations I guess. I keep thinking if I go to sleep maybe when I wake up it will have been explained better but then the shoes by the door and the",3,2,4,2,1,7,"The entry shows significant fragmentation with abrupt topic shifts and incomplete thoughts, though there's an underlying coherent theme of grief. The writer demonstrates good awareness of their contradictory needs but struggles with basic cognitive expression, using fragments and trailing off mid-sentence, ultimately ending incomplete."
"Got fired today which still sounds fake when I write it like maybe if I dont write the word then it isnt. She said attendance and focus and I was trying to explain about the meds making everything feel like wet cotton in my head but then I forgot what I was saying while I was saying it which probably did not help. I kept nodding like I understood. I dont think I did

Baby threw peas on the floor at lunch and I just stared at them forever. green little circles everywhere. I was supposed to call back about the schedule no not schedule thats done now. unemployment maybe. I put the number in my phone and then opened the weather for some reason. Its gonna rain tomorrow apparently

I keep thinking rent rent rent and diapers and formula and if I can stretch the pasta another day. There is half a jug of milk but maybe not enough. I should make a list. I did make a list where is it. I had it by the sink unless that was the other paper with the doctor thing on it

Mom said maybe this is for the best but best for who because I was already home most of the time anyway and now its like officially. I can hear the dryer bumping one shoe in there over and over and its making me feel weird. I need to tell him when he gets back but I dont know how to say it without sounding stupid like hi I lost the only job and also can you grab wipes if theyre on sale because",2,2,3,2,1,8,"The entry shows severe fragmentation with thoughts breaking mid-sentence and abrupt topic shifts without clear transitions. Cognitive overload is evident through incomplete sentences, lost trains of thought, and chaotic punctuation, while the entry abandons multiple topics and ends mid-sentence without any resolution."
"got fired today. weird to type it like that because it looks fake on the screen and she was doing that soft voice thing like ""this isn't working out"" and i just kept staring at the little sanitizer bottle on her desk because it was almost empty and that felt important for some reason. i said okay way too fast. i think i even smiled which is disgusting

I came home and still took off my name tag like i was going back tomorrow. keep finding loose glitter from the holiday shelves in my hoodie pocket. i hate that place i hate the music i hate folding the same shirts over and over but now my chest feels all hollow like when the automatic doors open in winter. rent is next week. mom texted can you pick up eggs lol no actually

i should call somebody but i dont want to hear my own voice explaining it, because then it becomes real real. they said attendance and ""energy on the floor"" whatever that means i was there i was always there except when i wasnt and i know that sounds. I kept thinking about the breakroom microwave beeping while she talked and if anyone cleaned out my yogurt. stupid. not stupid maybe

my feet still hurt like i worked a full shift and i didnt even buy toothpaste. need toothpaste. need a new job. need to get up but im just on the floor by the bed looking at a sock and",2,2,3,2,1,7,"The entry shows significant fragmentation with thoughts jumping between disconnected details (sanitizer bottle, glitter, microwave beeping) and frequent mid-sentence breaks. While there's some awareness of contradictory feelings about the job, the narrative lacks coherent flow and ends abruptly mid-thought, suggesting high cognitive load and disorganization."
"3:07 and I am awake again because of that stupid dream where the espresso machine was hissing like it knew my name and everyone in line had my dads face, not exactly his face but that feeling of being watched too hard. I got up to check the door twice. maybe three. I keep thinking I forgot to lock the cafe too which makes no sense because I didnt close tonight, Mara did, unless I dreamed that part too

My mouth tastes like pennies. I hate that. there was milk in the dream, warm on the counter, and my shoes sticking to the floor and I couldnt move fast enough and somebody kept saying decaf decaf decaf like it was an emergency. I should wash the blue apron tomorrow. no today. later. whatever

The fridge is making that click sound again and for a second I thought someone was tapping on the window but its just the plant leaves moving because I left the fan on. I think. I dont want to look. The plant is dying anyway, not dead, just bent weird toward the streetlight like it wants out

I had coffee at 5 so maybe thats part of it but it felt more like falling sideways than waking up. I was in bed and not in bed and then the hallway was too long. I mean not long, just wrong somehow. I keep smelling burnt sugar. maybe from work maybe from the dream. I should text my sister back about sunday. if its sunday. no it is. unless",2,2,3,2,1,7,"The entry shows severe fragmentation with thoughts jumping between dream elements, physical sensations, and random observations without clear connections. Multiple restarts, incomplete thoughts, and confusion about basic facts (day, time, who closed) indicate high cognitive load, while the abrupt ending mid-sentence leaves everything unresolved."
"I am still on hold with the hospital and the same piano loop keeps starting over like it forgot me which honestly same. I said I was fine when she asked for the date of birth and then Eli started shrieking because Nora took the blue cup and now both of them are crying like fire alarms and I cant hear the operator and my hands are doing that cold buzzing thing again. I need to write down what the nurse said except she hasnt come back yet, or maybe she did and I missed it because someone spilled yogurt on the couch and I can smell it even over the burnt toast from this morning

I have three invoices overdue. Why am I thinking about invoices right now. because rent, because if I go in today I dont finish the logo draft and then the client does that passive aggressive ""just checking in"" thing and I cant breathe right when people do that. Hold music again. still. no wait same song

The kids are fine I think theyre fine just loud loud loud and I told them two minutes ago to please stop screaming and then I yelled which is not the same but it is. I should get their shoes on in case we have to leave fast where are the shoes, why is there one in the bathroom. Hospital please pick up. I keep feeling like if I stand up I'll fall over or throw up or both and the toaster is still plugged in I think",2,1,2,1,1,8,"This entry shows severe fragmentation with constant mid-thought breaks and chaotic topic switching between hospital calls, children, work invoices, and household details without clear boundaries. The writing exhibits high cognitive load markers including sentence fragments, abrupt shifts, and stream-of-consciousness style that creates significant disorganization in the narrative structure."
"3:07 and I am sitting in the kitchen because I didnt want to wake anybody up with the crying, though I probably already did. I had that dream again, not exactly the same but the house was full of water and I couldnt find the kids even though they are not kids now, which is stupid, no not stupid just... my body doesnt know the difference at 3 in the morning I guess

I came out here for tea and forgot to boil the kettle. Just stood holding the mug like an idiot. The fridge is making that clicking sound again and I told him about it last week or maybe I only thought about telling him. I cant keep track of what gets said out loud anymore

In the dream there was a phone ringing under a blanket and I knew if I answered it something bad would already have happened, which doesnt make sense. My face hurts from crying. Also there are crumbs on the counter from yesterday, cinnamon raisin toast I think, and why am I noticing that now

I miss when everyone was asleep and safe under one roof. thats not fair, they are safe probably, I mean theyre adults, they text when they remember, unless they dont and then I start with this again. I shouldnt start with this again. The hallway light is too bright. I thought I heard the back door move but it was just the vent or I dont know

I want to go back to bed but I dont want to go back there if the dream is still waiting",2,2,3,2,2,7,"The entry shows significant fragmentation with abrupt topic shifts (dream to kettle to fridge sounds to phone ringing to crumbs) and poor semantic flow between thoughts. Multiple self-corrections, incomplete thoughts, and stream-of-consciousness jumping create high cognitive load, though there's some awareness of contradictory feelings about the children's safety. The entry trails off without resolution, leaving the central anxiety unprocessed."
"This waiting room smells like burnt coffee and bandaids and if one more person coughs right into the air like that im gonna lose it. I shouldnt have come alone. No actually thats not true I didnt want him here after what he said in the parking lot, acting like I started it when he put his hands up first like oh wow big man in front of automatic doors. My knuckles still sting a little not from him from the stupid brick wall outside because of course I hit the wall instead. Smart.

They keep calling names and not mine. I hate that calm voice they do, like everything is normal when it obviously isnt. If they come out and say what I think they're gonna say then what. then what because everybody keeps asking for emergency contact and I almost put my mom then remembered we havent talked right in months and also my phone is at 14% because I forgot the charger in my locker at work and probably Derek is gonna tell everyone I walked out. Let him. The pallets were already stacked like shit today anyway.

I can still hear him saying relax relax like that fixes anything. I was relaxed this morning. I had a sausage biscuit and everything was fine and now im in this chair with that fish tank bubbling too loud and a kid staring at me like he knows. Maybe I do look crazy right now whatever. If they say surgery or if they say too late or no wait I dont know what they're gonna say I just know nobody says please have a seat unless its bad and",2,2,3,2,1,7,"The entry shows significant fragmentation with abrupt topic shifts mid-sentence and stream-of-consciousness flow that's difficult to follow. Thoughts jump between waiting room observations, conflict with 'him', work situation, and medical anxiety without clear transitions, ending abruptly mid-thought which demonstrates high disorganization."
"I cant get my hands to stop shaking long enough to even hold the pen right. he cheated. like actual cheated not the maybe-flirting thing not me making stories up at 2am, no, real messages real plans real I miss you too and I think I am going to throw up again. I have to open at 8 tomorrow and fold those stupid shirts and ask people if they found everything okay while my chest is doing this. cant breathe right. keep counting 1 2 3 4 and then I lose 4

I keep hearing the cooler at work humming and the beeping from register 3 for some reason why is that in my head right now. I need milk. no we have milk I think. God I hate that he was in this kitchen saying babe where do we keep the coffee filters and now all I can see is his face looking normal. that normal face is maybe the worst part

I called out once last month I cant do it again maybe I can maybe who cares if they fire me, no I care rent exists. my skin feels too tight. I keep checking the phone like there will be a different answer if I unlock it enough times. there isnt. there just isnt and he said it was complicated which is such a disgusting word. complicated is the clearance shelf. complicated is the schedule app. this is just

I cant even decide if I want him gone tonight or if I want him here so I can scream properly because texting doesnt land right and my heart is beating in my throat and I need it to stop stop stop",2,2,2,1,1,8,"The entry shows severe fragmentation with thoughts breaking mid-sentence, extreme cognitive overload evident in incomplete phrases and fragments, and topics bleeding chaotically into each other without clear boundaries. The narrative abandons closure entirely, ending mid-thought, reflecting a highly disorganized mental state processing acute emotional trauma."
"I am sitting in the truck like an idiot crying before I even finish texting you back and my hands got dust all over the screen so if this sends weird whatever. I wasnt even gonna write anything I just needed somewhere to put it because if I call anybody I know exactly what they'll say, suck it up get back to work, real helpful. I did get back to work. Thats the stupid part. Hung drywall half the day with my face all hot and trying not to let anybody look too long.

You said im making everything bigger than it is and maybe I am but then why cant I stop shaking. Not shaking exactly, just that inside thing. And Rick kept asking if I was good and I said allergies. In november. sure.

I keep thinking about the kitchen light I left on this morning or maybe I turned it off no I think I did. doesnt matter the bill is already trash. Everything is expensive and my boots are splitting at the side and I still told my daughter I'd help with the field trip money so yeah okay. I can do that. probably.

I hate crying man I hate it, nose running, eyes burning, trying to text and write at the same time and I cant even tell if im talking to you or to this page now. You dont get to say calm down when you were the one that said fine leave then. I was leaving. I am leaving I just had to sit here for a minute because if I drive right now I",2,2,3,2,1,8,"The entry shows significant fragmentation with abrupt topic jumps (crying to work to kitchen lights to boots to daughter), frequent mid-thought breaks, and ends completely mid-sentence. While there's some emotional coherence around distress, the structural organization is poor with scattered focus and high cognitive load markers throughout."
"im literally on hold right now and the same piano song keeps starting over like they dont know im still here i cant stop crying which is embarrassing because the kids in the apartment next door or upstairs or whatever are screaming so loud and i cant even hear when the hospital lady finally picks up if she picks up. i already said my birthday twice to one person and then got transferred and now i have to do it again probably

my face hurts. i had mascara on for work and forgot and now its all in my eyes. work was awful too this lady kept tapping her card like i was making it decline on purpose and i said sorry three times. i shouldve bought tissues after shift but i got fries instead because i didnt eat and now theyre cold on the desk. hold on i thought they answered no just more piano

i dont even know if im calling the right department because they said records then billing then no not billing and i wrote it on my hand but washed it off. the kids are still yelling like happy yelling i think which somehow makes it worse. i keep trying to breathe normal before someone answers so i dont sound like this but then i start again. i need them to just tell me if i owe it or if they mixed me up with my mom because the address thing and the bracelet and i wasnt even there that long i just",2,2,5,2,1,8,"The entry shows severe fragmentation with thoughts jumping rapidly between hold music, crying, mascara, work, food, and billing without clear connections. Multiple sentences trail off mid-thought or restart, and the entry ends abruptly incomplete, suggesting high cognitive load and disorganized mental state."
